,id,dt_ocorrencia,uf,regiao,classificacao_da_ocorrencia
0,7762,2018-03-21,SP,Sudeste,Incidente
1,7759,2018-03-14,MG,Sudeste,Acidente
2,7758,2018-01-26,GO,Centro-Oeste,Acidente
3,7758,2018-01-26,GO,Centro-Oeste,Acidente
4,7757,2018-03-18,RS,Sul,Incidente Grave
5,5552,2009-07-07,PR,Sul,Acidente
6,5118,2006-10-13,ES,Sudeste,Acidente
7,7756,2018-03-18,PE,Nordeste,Incidente Grave
8,7755,2018-03-18,AL,Nordeste,Incidente Grave
9,7754,2018-03-17,SP,Sudeste,Incidente Grave
10,7754,2018-03-17,SP,Sudeste,Incidente Grave
11,7753,2018-03-16,SP,Sudeste,Acidente
12,5387,2002-08-20,Indeterminado,,Acidente
13,5665,2002-11-20,Indeterminado,,Acidente
14,7752,2018-03-16,SP,Sudeste,Incidente
15,7526,2017-09-20,MG,Sudeste,Incidente
16,7525,2017-09-21,MT,Centro-Oeste,Acidente
17,7524,2017-09-15,RJ,Sudeste,Ocorrência de Solo
18,7523,2017-09-17,SP,Sudeste,Incidente
19,7522,2017-09-15,RR,Norte,Acidente
20,7521,2017-09-11,SP,Sudeste,Incidente
21,7520,2017-09-11,SP,Sudeste,Incidente
22,7519,2017-09-07,PR,Sul,Incidente
23,7518,2017-09-05,PR,Sul,Incidente
24,7516,2017-09-02,MG,Sudeste,Acidente
25,7514,2017-09-11,SC,Sul,Incidente
26,7517,2017-08-02,PE,Nordeste,Incidente
27,7515,2017-09-06,MT,Centro-Oeste,Incidente Grave
28,7229,2017-02-07,RJ,Sudeste,Incidente
29,7228,2017-04-11,SP,Sudeste,Incidente
30,7227,2017-04-05,RJ,Sudeste,Ocorrência de Solo
31,7513,2017-09-08,PR,Sul,Incidente
32,7512,2017-09-03,SP,Sudeste,Acidente
33,7511,2017-09-06,MG,Sudeste,Acidente
34,7510,2017-09-07,MG,Sudeste,Incidente
35,7236,2017-05-04,MG,Sudeste,Incidente
36,7235,2017-04-23,RS,Sul,Acidente
37,7234,2017-04-20,BA,Nordeste,Incidente
38,7233,2017-04-14,MS,Centro-Oeste,Acidente
39,7232,2017-02-17,AM,Norte,Acidente
40,7231,2017-02-04,SC,Sul,Incidente
41,7230,2017-02-13,ES,Sudeste,Incidente
42,7226,2017-04-05,MG,Sudeste,Incidente
43,7225,2017-04-01,GO,Centro-Oeste,Acidente
44,7224,2017-02-06,SP,Sudeste,Acidente
45,7222,2017-01-23,DF,Centro-Oeste,Incidente
46,7990,2011-02-26,RJ,Sudeste,Incidente
47,7989,2011-03-01,RJ,Sudeste,Incidente
48,7223,2017-01-18,SP,Sudeste,Incidente
49,7221,2017-01-14,SP,Sudeste,Incidente
50,7993,2011-01-10,RJ,Sudeste,Incidente
51,7506,2017-07-03,GO,Centro-Oeste,Incidente
52,7992,2011-01-23,RN,Nordeste,Incidente
53,7991,2011-02-06,MT,Centro-Oeste,Incidente
54,7988,2011-03-26,RJ,Sudeste,Incidente
55,7986,2011-04-18,SP,Sudeste,Incidente
56,7987,2011-04-07,PR,Sul,Incidente
57,7985,2011-04-29,RJ,Sudeste,Incidente
58,7750,2018-03-15,PA,Norte,Acidente
59,7748,2018-03-13,SP,Sudeste,Acidente
60,7749,2018-03-11,SP,Sudeste,Incidente
61,7747,2018-03-10,PI,Nordeste,Acidente
62,7746,2018-03-11,PR,Sul,Acidente
63,7741,2018-03-07,PB,Nordeste,Incidente Grave
64,7745,2018-03-11,SP,Sudeste,Incidente
65,7744,2018-03-07,SP,Sudeste,Incidente
66,7743,2018-03-08,MT,Centro-Oeste,Incidente
67,7742,2018-03-04,MG,Sudeste,Incidente Grave
68,7741,2018-03-07,PB,Nordeste,Incidente Grave
69,7740,2018-03-07,BA,Nordeste,Acidente
70,7739,2018-03-08,SC,Sul,Acidente
71,7738,2018-03-06,RS,Sul,Acidente
72,7508,2017-09-05,MG,Sudeste,Incidente Grave
73,7507,2017-09-03,GO,Centro-Oeste,Incidente
74,7509,2017-09-09,PE,Nordeste,Acidente
75,7505,2017-08-29,RJ,Sudeste,Incidente
76,7504,2017-09-08,PA,Norte,Acidente
77,7497,2017-06-07,SP,Sudeste,Incidente
78,7496,2017-08-27,MG,Sudeste,Incidente
79,7495,2017-08-12,SP,Sudeste,Incidente
80,7503,2017-09-07,PA,Norte,Acidente
81,7501,2017-06-06,MG,Sudeste,Incidente
82,7500,2017-09-02,MT,Centro-Oeste,Incidente
83,7499,2017-08-27,ES,Sudeste,Incidente Grave
84,7498,2017-08-31,MG,Sudeste,Incidente Grave
85,7494,2017-08-31,BA,Nordeste,Incidente
86,7220,2016-12-26,PE,Nordeste,Incidente
87,7219,2016-12-31,SP,Sudeste,Ocorrência de Solo
88,7218,2017-01-03,RS,Sul,Acidente
89,7217,2016-12-27,BA,Nordeste,Acidente
90,7216,2016-10-26,BA,Nordeste,Acidente
91,7215,2016-10-28,SP,Sudeste,Incidente
92,7214,2016-10-14,AM,Norte,Incidente
93,7213,2016-10-27,SP,Sudeste,Incidente
94,7212,2017-02-15,MT,Centro-Oeste,Incidente
95,7211,2017-02-20,SP,Sudeste,Incidente
96,7210,2017-02-23,SC,Sul,Acidente
97,7984,2011-05-18,DF,Centro-Oeste,Incidente
98,7983,2011-05-23,DF,Centro-Oeste,Incidente
99,7982,2011-05-26,MG,Sudeste,Incidente
100,7979,2011-06-28,RJ,Sudeste,Incidente
101,7737,2018-03-06,MT,Centro-Oeste,Incidente Grave
102,7981,2011-05-28,RJ,Sudeste,Incidente
103,7980,2011-06-22,PA,Norte,Incidente
104,7735,2018-01-28,RJ,Sudeste,Acidente
105,7734,2018-02-19,SP,Sudeste,Acidente
106,7978,2011-07-01,SP,Sudeste,Incidente
107,7736,2018-01-24,SP,Sudeste,Ocorrência de Solo
108,7734,2018-02-19,SP,Sudeste,Acidente
109,7733,2018-02-17,SP,Sudeste,Incidente
110,7732,2018-02-22,MT,Centro-Oeste,Acidente
111,7731,2018-02-09,MT,Centro-Oeste,Acidente
112,7731,2018-02-09,MT,Centro-Oeste,Acidente
113,7730,2018-03-01,SP,Sudeste,Ocorrência de Solo
114,7729,2018-02-15,MS,Centro-Oeste,Acidente
115,7727,2018-02-25,SP,Sudeste,Acidente
116,7728,2018-02-22,GO,Centro-Oeste,Acidente
117,7726,2018-02-24,AM,Norte,Incidente
118,7489,2017-08-21,RJ,Sudeste,Incidente
119,7488,2017-08-17,GO,Centro-Oeste,Incidente
120,7487,2017-08-10,MT,Centro-Oeste,Incidente
121,7725,2018-03-04,RS,Sul,Acidente
122,7493,2017-08-20,MT,Centro-Oeste,Incidente Grave
123,7492,2017-08-29,SP,Sudeste,Incidente
124,7491,2017-08-27,ES,Sudeste,Incidente Grave
125,7490,2017-08-20,TO,Norte,Acidente
126,7486,2017-08-22,AM,Norte,Acidente
127,7485,2017-08-20,SP,Sudeste,Incidente
128,7484,2017-08-16,BA,Nordeste,Incidente
129,7483,2017-07-24,GO,Centro-Oeste,Incidente
130,7482,2017-08-17,RJ,Sudeste,Incidente Grave
131,7481,2017-07-19,RJ,Sudeste,Incidente Grave
132,7480,2017-08-11,AC,Norte,Incidente
133,7479,2017-07-30,PA,Norte,Incidente
134,7474,2017-08-08,PA,Norte,Incidente Grave
135,7206,2017-04-08,PI,Nordeste,Acidente
136,7209,2016-12-04,SP,Sudeste,Incidente
137,7208,2017-04-10,MG,Sudeste,Acidente
138,7207,2017-04-06,SP,Sudeste,Incidente
139,7205,2017-04-13,MS,Centro-Oeste,Acidente
140,7204,2017-01-04,RJ,Sudeste,Ocorrência de Solo
141,7203,2017-01-04,GO,Centro-Oeste,Acidente
142,7203,2017-01-04,GO,Centro-Oeste,Acidente
143,7202,2017-01-05,PR,Sul,Acidente
144,7201,2016-12-07,SP,Sudeste,Incidente
145,7200,2016-12-02,SP,Sudeste,Incidente Grave
146,7199,2016-12-01,SP,Sudeste,Incidente
147,7198,2016-12-05,PR,Sul,Acidente
148,7197,2016-10-12,SP,Sudeste,Incidente
149,7975,2011-07-16,AM,Norte,Incidente
150,7974,2011-07-20,MG,Sudeste,Incidente
151,7196,2016-09-19,DF,Centro-Oeste,Incidente
152,7977,2011-07-04,SC,Sul,Incidente
153,7976,2011-07-15,RJ,Sudeste,Incidente
154,7973,2011-08-03,RJ,Sudeste,Incidente
155,7972,2011-08-07,AM,Norte,Incidente
156,7970,2013-08-14,MS,Centro-Oeste,Incidente
157,7969,2014-06-11,SP,Sudeste,Incidente
158,7971,2011-08-12,RJ,Sudeste,Incidente
159,7968,2014-11-12,PA,Norte,Incidente
160,7967,2014-12-20,PR,Sul,Incidente
161,7966,2015-02-05,PA,Norte,Incidente
162,7965,2015-02-08,MG,Sudeste,Incidente
163,7724,2018-02-01,SP,Sudeste,Incidente
164,7723,2018-02-14,SP,Sudeste,Incidente Grave
165,7722,2018-03-01,SP,Sudeste,Incidente
166,7721,2018-02-22,AM,Norte,Acidente
167,7716,2018-02-27,MS,Centro-Oeste,Acidente
168,7715,2018-01-25,MT,Centro-Oeste,Incidente Grave
169,7720,2018-02-28,PA,Norte,Acidente
170,7720,2018-02-28,PA,Norte,Acidente
171,7718,2018-02-17,SC,Sul,Acidente
172,7717,2018-02-26,RS,Sul,Acidente
173,7719,2018-02-26,SP,Sudeste,Incidente
174,7715,2018-01-25,MT,Centro-Oeste,Incidente Grave
175,7714,2018-01-09,PA,Norte,Incidente
176,7471,2011-02-05,RJ,Sudeste,Incidente
177,7470,2011-05-12,SP,Sudeste,Incidente
178,7712,2018-02-22,DF,Centro-Oeste,Incidente Grave
179,7473,2017-08-12,GO,Centro-Oeste,Acidente
180,7469,2010-03-24,RJ,Sudeste,Incidente
181,7464,2010-12-15,PR,Sul,Incidente
182,7466,2010-07-19,SP,Sudeste,Incidente
183,7465,2010-02-06,AC,Norte,Incidente
184,7461,2013-11-08,MG,Sudeste,Incidente
185,7460,2010-08-04,PR,Sul,Incidente
186,7462,2014-01-27,DF,Centro-Oeste,Incidente
187,7459,2015-02-18,PE,Nordeste,Incidente
188,7458,2015-06-17,PR,Sul,Acidente
189,7457,2017-05-28,MS,Centro-Oeste,Acidente
190,7456,2002-03-05,DF,Centro-Oeste,Incidente
191,7194,2016-10-12,RR,Norte,Acidente
192,7194,2016-10-12,RR,Norte,Acidente
193,7193,2017-02-15,SP,Sudeste,Incidente
194,7192,2017-03-07,DF,Centro-Oeste,Ocorrência de Solo
195,7191,2017-02-04,BA,Nordeste,Acidente
196,7190,2017-02-08,BA,Nordeste,Acidente
197,7190,2017-02-08,BA,Nordeste,Acidente
198,7189,2017-02-03,PR,Sul,Incidente
199,7963,2015-05-16,PE,Nordeste,Incidente
200,7188,2017-02-05,PA,Norte,Acidente
201,7188,2017-02-05,PA,Norte,Acidente
202,7187,2017-01-30,PR,Sul,Incidente
203,7184,2017-03-31,MG,Sudeste,Incidente
204,7183,2017-04-05,SP,Sudeste,Incidente
205,7186,2017-01-28,BA,Nordeste,Incidente Grave
206,7185,2017-01-27,RS,Sul,Ocorrência de Solo
207,7182,2017-04-04,CE,Nordeste,Ocorrência de Solo
208,7181,2017-03-13,MT,Centro-Oeste,Acidente
209,7964,2015-03-10,SC,Sul,Incidente
210,7962,2015-06-10,SC,Sul,Incidente
211,7961,2018-07-26,MS,Centro-Oeste,Incidente Grave
212,7960,2015-07-05,GO,Centro-Oeste,Incidente
213,7959,2015-07-07,MG,Sudeste,Incidente
214,7954,2017-06-13,TO,Norte,Incidente
215,7953,2017-09-03,GO,Centro-Oeste,Incidente
216,7951,2018-01-18,MS,Centro-Oeste,Incidente
217,7950,2018-05-17,MG,Sudeste,Incidente Grave
218,7949,2018-03-21,SP,Sudeste,Incidente
219,7948,2018-07-23,SP,Sudeste,Incidente
220,7947,2018-07-20,AM,Norte,Ocorrência de Solo
221,7946,2018-07-05,MG,Sudeste,Ocorrência de Solo
222,7945,2018-07-22,PR,Sul,Acidente
223,7944,2018-07-21,RJ,Sudeste,Acidente
224,7943,2018-07-20,SP,Sudeste,Incidente
225,7711,2018-02-03,SP,Sudeste,Incidente Grave
226,7710,2018-02-08,RS,Sul,Acidente
227,7709,2018-02-18,BA,Nordeste,Acidente
228,7708,2018-02-28,RS,Sul,Incidente Grave
229,7708,2018-02-28,RS,Sul,Incidente Grave
230,7707,2018-01-25,PE,Nordeste,Ocorrência de Solo
231,7706,2017-12-15,PR,Sul,Incidente
232,7704,2018-01-19,RS,Sul,Acidente
233,7703,2018-01-18,MG,Sudeste,Acidente
234,7703,2018-01-18,MG,Sudeste,Acidente
235,7455,2017-08-09,DF,Centro-Oeste,Incidente
236,7702,2018-01-13,BA,Nordeste,Acidente
237,7702,2018-01-13,BA,Nordeste,Acidente
238,7454,2017-07-28,ES,Sudeste,Ocorrência de Solo
239,7453,2017-08-08,MG,Sudeste,Acidente
240,7453,2017-08-08,MG,Sudeste,Acidente
241,7701,2018-01-13,ES,Sudeste,Acidente
242,7700,2018-01-23,PA,Norte,Acidente
243,7452,2017-08-06,AM,Norte,Acidente
244,7450,2017-08-03,PR,Sul,Incidente
245,7451,2017-08-04,GO,Centro-Oeste,Incidente
246,7449,2017-08-01,PA,Norte,Acidente
247,7443,2017-08-05,PR,Sul,Incidente
248,7442,2017-08-02,SP,Sudeste,Incidente Grave
249,7441,2017-08-01,RJ,Sudeste,Incidente
250,7440,2017-07-01,SP,Sudeste,Incidente
251,7439,2017-08-03,SP,Sudeste,Incidente
252,7437,2017-07-28,RS,Sul,Incidente Grave
253,7436,2017-07-27,SP,Sudeste,Acidente
254,7435,2017-07-30,SP,Sudeste,Acidente
255,7434,2017-07-16,SP,Sudeste,Incidente
256,7433,2017-07-20,MT,Centro-Oeste,Acidente
257,7432,2017-07-26,PR,Sul,Incidente
258,7431,2017-07-24,MG,Sudeste,Acidente
259,7430,2007-08-04,PE,Nordeste,Acidente
260,7179,2017-01-20,RJ,Sudeste,Incidente
261,7178,2017-01-19,SP,Sudeste,Incidente
262,7177,2017-01-16,SP,Sudeste,Incidente
263,7176,2017-04-29,RS,Sul,Ocorrência de Solo
264,7175,2017-06-02,SC,Sul,Incidente Grave
265,7174,2017-05-27,SP,Sudeste,Incidente
266,7173,2016-12-30,GO,Centro-Oeste,Incidente
267,7172,2017-02-03,PA,Norte,Incidente
268,7171,2016-12-15,SP,Sudeste,Incidente
269,7170,2017-01-18,SE,Nordeste,Incidente
270,7169,2017-01-18,CE,Nordeste,Acidente
271,7168,2016-12-23,SP,Sudeste,Acidente
272,7167,2016-12-13,MT,Centro-Oeste,Acidente
273,7166,2016-12-08,GO,Centro-Oeste,Incidente Grave
274,7166,2016-12-08,GO,Centro-Oeste,Incidente Grave
275,7165,2016-11-19,MG,Sudeste,Acidente
276,7164,2016-11-28,SP,Sudeste,Incidente Grave
277,7164,2016-11-28,SP,Sudeste,Incidente Grave
278,7941,2018-07-13,PE,Nordeste,Incidente
279,7940,2018-07-22,BA,Nordeste,Incidente Grave
280,7942,2018-07-20,MA,Nordeste,Acidente
281,7940,2018-07-22,BA,Nordeste,Incidente Grave
282,7939,2018-07-20,SP,Sudeste,Incidente
283,7938,2018-07-18,DF,Centro-Oeste,Ocorrência de Solo
284,7937,2018-07-18,RS,Sul,Incidente Grave
285,7937,2018-07-18,RS,Sul,Incidente Grave
286,7936,2018-07-18,CE,Nordeste,Incidente
287,7935,2014-08-01,MS,Centro-Oeste,Incidente Grave
288,7934,2018-07-17,BA,Nordeste,Incidente
289,7932,2018-05-25,GO,Centro-Oeste,Incidente Grave
290,7932,2018-05-25,GO,Centro-Oeste,Incidente Grave
291,7931,2018-07-13,CE,Nordeste,Incidente
292,7930,2018-07-16,PR,Sul,Incidente Grave
293,7699,2018-01-23,GO,Centro-Oeste,Incidente
294,7698,2018-01-26,RS,Sul,Acidente
295,7696,2018-02-12,SP,Sudeste,Acidente
296,7695,2018-02-11,AC,Norte,Acidente
297,7688,2018-02-14,RS,Sul,Acidente
298,7693,2018-02-01,RS,Sul,Acidente
299,7692,2018-02-07,MA,Nordeste,Ocorrência de Solo
300,7691,2018-02-07,ES,Sudeste,Incidente
301,7690,2018-02-09,SP,Sudeste,Incidente
302,7689,2018-02-08,SP,Sudeste,Incidente
303,7687,2018-01-21,ES,Sudeste,Acidente
304,7687,2018-01-21,ES,Sudeste,Acidente
305,7686,2017-11-20,PR,Sul,Ocorrência de Solo
306,7424,2017-07-19,CE,Nordeste,Incidente
307,7423,2017-07-17,MG,Sudeste,Incidente
308,7412,2017-06-30,SP,Sudeste,Incidente
309,7685,2018-01-18,BA,Nordeste,Acidente
310,7429,2017-07-24,PR,Sul,Incidente
311,7428,2017-07-25,CE,Nordeste,Incidente
312,7427,2017-07-25,PA,Norte,Ocorrência de Solo
313,7426,2017-07-25,SP,Sudeste,Incidente
314,7425,2017-07-21,RJ,Sudeste,Incidente
315,7422,2017-07-21,PR,Sul,Acidente
316,7421,2017-06-03,RJ,Sudeste,Incidente
317,7420,2017-07-17,RJ,Sudeste,Incidente
318,7417,2017-07-01,GO,Centro-Oeste,Incidente
319,7417,2017-07-01,GO,Centro-Oeste,Incidente
320,7419,2017-07-17,PR,Sul,Acidente
321,7416,2017-06-26,PR,Sul,Incidente
322,7415,2017-07-17,SP,Sudeste,Incidente
323,7414,2017-07-13,SC,Sul,Incidente
324,7413,2017-07-15,PR,Sul,Incidente
325,7411,2017-07-04,SP,Sudeste,Acidente
326,7195,2016-10-13,RS,Sul,Acidente
327,7149,2016-12-12,RS,Sul,Incidente
328,7148,2017-06-10,TO,Norte,Incidente
329,7147,2017-06-02,AM,Norte,Acidente
330,7146,2017-05-28,MS,Centro-Oeste,Acidente
331,7145,2017-05-24,AM,Norte,Incidente
332,7144,2016-09-16,AM,Norte,Acidente
333,7143,2016-09-21,SP,Sudeste,Acidente
334,7142,2016-09-19,MS,Centro-Oeste,Acidente
335,7141,2016-09-18,SP,Sudeste,Acidente
336,7141,2016-09-18,SP,Sudeste,Acidente
337,7140,2016-09-24,SP,Sudeste,Incidente Grave
338,7139,2016-09-23,PR,Sul,Acidente
339,7138,2016-09-24,PR,Sul,Acidente
340,7137,2016-09-29,SP,Sudeste,Incidente
341,7136,2017-04-28,MG,Sudeste,Incidente
342,7135,2017-04-21,SP,Sudeste,Acidente
343,7134,2016-12-28,GO,Centro-Oeste,Incidente
344,7929,2018-07-09,MG,Sudeste,Incidente
345,7928,2018-07-05,MG,Sudeste,Incidente Grave
346,7927,2017-07-09,MS,Centro-Oeste,Incidente
347,7926,2018-07-10,PR,Sul,Incidente
348,7925,2018-07-10,RJ,Sudeste,Incidente
349,7924,2017-10-11,PA,Norte,Acidente
350,7923,2018-04-10,MS,Centro-Oeste,Acidente
351,7923,2018-04-10,MS,Centro-Oeste,Acidente
352,7922,2018-07-03,PA,Norte,Acidente
353,7920,2018-07-12,SP,Sudeste,Acidente
354,7920,2018-07-12,SP,Sudeste,Acidente
355,7919,2018-07-16,MG,Sudeste,Acidente
356,7918,2018-07-14,MG,Sudeste,Acidente
357,7917,2018-07-22,PR,Sul,Acidente
358,7917,2018-07-22,PR,Sul,Acidente
359,7915,2018-07-10,PA,Norte,Incidente
360,7912,2018-07-04,MT,Centro-Oeste,Incidente
361,7911,2018-06-28,RS,Sul,Incidente
362,7910,2018-07-09,MG,Sudeste,Incidente
363,7684,2018-01-19,RS,Sul,Acidente
364,7683,2017-12-26,SP,Sudeste,Incidente
365,7682,2018-01-10,RS,Sul,Acidente
366,7681,2018-01-10,RS,Sul,Acidente
367,7679,2018-01-15,BA,Nordeste,Incidente
368,7680,2018-01-17,SP,Sudeste,Incidente
369,7678,2018-01-15,CE,Nordeste,Acidente
370,7677,2018-01-11,RS,Sul,Incidente
371,7676,2018-01-14,SP,Sudeste,Acidente
372,7675,2018-01-12,RS,Sul,Incidente
373,7674,2018-01-04,MG,Sudeste,Incidente
374,7673,2018-01-10,RS,Sul,Acidente
375,7672,2018-01-05,PR,Sul,Incidente
376,7671,2018-01-06,SC,Sul,Acidente
377,7670,2018-01-04,MS,Centro-Oeste,Incidente
378,7410,2017-07-09,SP,Sudeste,Incidente
379,7409,2017-07-05,RJ,Sudeste,Acidente
380,7408,2017-07-09,PR,Sul,Acidente
381,7407,2017-07-11,RJ,Sudeste,Ocorrência de Solo
382,7406,2017-07-11,RS,Sul,Incidente
383,7405,2017-07-09,AM,Norte,Incidente
384,7404,2017-07-09,MA,Nordeste,Incidente
385,7403,2017-07-08,MT,Centro-Oeste,Acidente
386,7402,2017-07-10,SC,Sul,Incidente Grave
387,7401,2017-07-07,SC,Sul,Incidente
388,7399,2017-07-11,SP,Sudeste,Acidente
389,7398,2017-06-13,RJ,Sudeste,Ocorrência de Solo
390,7400,2017-07-09,PR,Sul,Incidente
391,7397,2017-05-13,RO,Norte,Incidente
392,7396,2017-07-04,PA,Norte,Incidente
393,7133,2017-05-01,GO,Centro-Oeste,Ocorrência de Solo
394,7131,2016-12-04,SP,Sudeste,Acidente
395,7180,2017-01-24,GO,Centro-Oeste,Acidente
396,7132,2016-12-03,PE,Nordeste,Incidente Grave
397,7130,2016-12-02,CE,Nordeste,Incidente
398,7128,2016-12-28,ES,Sudeste,Acidente
399,7128,2016-12-28,ES,Sudeste,Acidente
400,7129,2016-11-14,RS,Sul,Acidente
401,7127,2017-01-03,RJ,Sudeste,Incidente
402,7126,2017-01-09,MT,Centro-Oeste,Ocorrência de Solo
403,7125,2017-01-10,PR,Sul,Ocorrência de Solo
404,7124,2017-02-04,RS,Sul,Acidente
405,7123,2017-01-13,SP,Sudeste,Acidente
406,7122,2017-01-14,PR,Sul,Acidente
407,7121,2017-01-12,MG,Sudeste,Incidente
408,7909,2018-07-08,SP,Sudeste,Acidente
409,7909,2018-07-08,SP,Sudeste,Acidente
410,7908,2018-07-08,SP,Sudeste,Incidente
411,7907,2018-06-15,MG,Sudeste,Incidente
412,7906,2018-06-27,MT,Centro-Oeste,Acidente
413,7906,2018-06-27,MT,Centro-Oeste,Acidente
414,7904,2018-07-01,MG,Sudeste,Incidente
415,7903,2018-07-01,MG,Sudeste,Acidente
416,7902,2018-07-02,RJ,Sudeste,Incidente Grave
417,7901,2018-05-17,ES,Sudeste,Ocorrência de Solo
418,7900,2018-07-02,SP,Sudeste,Incidente
419,7899,2018-06-30,RS,Sul,Acidente
420,7661,2017-11-30,SP,Sudeste,Incidente Grave
421,7660,2017-12-26,RJ,Sudeste,Incidente
422,7899,2018-06-30,RS,Sul,Acidente
423,7898,2018-06-29,PA,Norte,Acidente
424,7897,2018-06-27,PA,Norte,Acidente
425,7895,2018-06-26,SP,Sudeste,Incidente
426,7894,2018-06-26,RS,Sul,Ocorrência de Solo
427,7896,2018-06-20,PR,Sul,Incidente
428,7893,2018-06-23,MG,Sudeste,Incidente
429,7669,2018-01-04,BA,Nordeste,Incidente Grave
430,7668,2018-01-05,RJ,Sudeste,Incidente
431,7666,2018-01-05,SP,Sudeste,Incidente
432,7667,2018-01-04,RJ,Sudeste,Incidente Grave
433,7665,2018-01-03,RS,Sul,Incidente Grave
434,7664,2018-01-03,BA,Nordeste,Incidente
435,7663,2017-12-28,CE,Nordeste,Ocorrência de Solo
436,7661,2017-11-30,SP,Sudeste,Incidente Grave
437,7659,2017-12-23,SP,Sudeste,Ocorrência de Solo
438,7658,2017-12-30,RS,Sul,Acidente
439,7657,2017-12-29,SP,Sudeste,Incidente Grave
440,7656,2017-12-23,MG,Sudeste,Incidente Grave
441,7395,2017-07-03,RR,Norte,Acidente
442,7394,2017-06-24,PR,Sul,Incidente
443,7655,2017-12-23,RJ,Sudeste,Incidente
444,7654,2017-12-28,TO,Norte,Incidente
445,7393,2017-06-28,SP,Sudeste,Incidente
446,7392,2017-06-28,MG,Sudeste,Ocorrência de Solo
447,7391,2017-06-25,MG,Sudeste,Incidente
448,7390,2017-06-25,GO,Centro-Oeste,Acidente
449,7389,2017-04-17,SP,Sudeste,Incidente
450,7388,2017-06-21,RR,Norte,Acidente
451,7387,2017-06-16,MT,Centro-Oeste,Ocorrência de Solo
452,7386,2017-06-19,MT,Centro-Oeste,Incidente Grave
453,7385,2017-06-13,TO,Norte,Incidente
454,7384,2017-06-10,MT,Centro-Oeste,Incidente
455,7383,2017-06-15,MG,Sudeste,Incidente
456,7382,2017-06-14,RR,Norte,Acidente
457,7381,2017-06-15,PA,Norte,Incidente
458,7379,2017-06-11,RS,Sul,Incidente
459,7378,2017-06-14,RR,Norte,Acidente
460,7362,2017-02-11,SP,Sudeste,Acidente
461,7163,2016-11-17,SC,Sul,Incidente
462,7162,2016-12-04,PR,Sul,Incidente
463,7160,2016-12-07,SP,Sudeste,Incidente
464,7161,2016-11-24,RS,Sul,Acidente
465,7159,2016-11-29,SC,Sul,Acidente
466,7158,2016-12-10,SC,Sul,Acidente
467,7156,2017-05-05,RS,Sul,Incidente
468,7155,2017-04-25,SP,Sudeste,Incidente
469,7157,2016-12-04,RS,Sul,Acidente
470,7154,2017-05-04,SP,Sudeste,Incidente
471,7153,2017-05-09,SC,Sul,Incidente
472,7152,2016-12-10,RS,Sul,Incidente Grave
473,7151,2016-12-07,SP,Sudeste,Incidente Grave
474,7151,2016-12-07,SP,Sudeste,Incidente Grave
475,7150,2016-11-17,SP,Sudeste,Incidente
476,7892,2018-06-28,PA,Norte,Incidente
477,7891,2018-06-25,PA,Norte,Acidente
478,7880,2018-06-16,PA,Norte,Acidente
479,7653,2017-12-27,GO,Centro-Oeste,Incidente Grave
480,7890,2018-06-23,RS,Sul,Incidente
481,7889,2018-06-16,SP,Sudeste,Incidente
482,7888,2018-06-23,CE,Nordeste,Acidente
483,7887,2018-06-22,SP,Sudeste,Incidente
484,7884,2018-06-16,SC,Sul,Incidente
485,7886,2018-06-23,PA,Norte,Acidente
486,7885,2018-06-19,SP,Sudeste,Incidente
487,7883,2018-06-17,MS,Centro-Oeste,Acidente
488,7882,2018-06-17,RS,Sul,Incidente
489,7881,2018-06-16,MG,Sudeste,Acidente
490,7652,2017-12-27,BA,Nordeste,Incidente
491,7651,2017-12-19,SP,Sudeste,Ocorrência de Solo
492,7650,2017-11-11,MG,Sudeste,Incidente
493,7649,2017-11-06,MG,Sudeste,Incidente
494,7648,2017-12-09,MT,Centro-Oeste,Acidente
495,7647,2017-12-11,SP,Sudeste,Incidente Grave
496,7646,2017-12-13,RS,Sul,Incidente
497,7644,2017-12-03,PA,Norte,Acidente
498,7644,2017-12-03,PA,Norte,Acidente
499,7642,2017-12-10,SP,Sudeste,Incidente
500,7361,2017-01-28,RJ,Sudeste,Incidente
501,7645,2017-12-10,SP,Sudeste,Incidente
502,7357,2017-03-02,MT,Centro-Oeste,Incidente Grave
503,7356,2017-02-27,MT,Centro-Oeste,Incidente
504,7643,2017-12-08,PA,Norte,Acidente
505,7360,2017-02-10,SP,Sudeste,Incidente
506,7359,2017-02-04,PA,Norte,Incidente Grave
507,7358,2017-04-11,MT,Centro-Oeste,Acidente
508,7355,2017-03-13,RS,Sul,Acidente
509,7354,2017-02-10,SP,Sudeste,Acidente
510,7353,2017-02-04,RS,Sul,Acidente
511,7878,2018-06-11,PR,Sul,Incidente
512,7874,2018-06-07,RJ,Sudeste,Incidente
513,7869,2018-06-06,RS,Sul,Acidente
514,7352,2017-02-03,PR,Sul,Acidente
515,7351,2017-02-01,RS,Sul,Acidente
516,8133,2018-09-27,AM,Norte,Incidente Grave
517,8132,2018-09-25,MS,Centro-Oeste,Incidente
518,8133,2018-09-27,AM,Norte,Incidente Grave
519,8131,2018-09-27,MG,Sudeste,Incidente
520,8129,2018-09-27,SP,Sudeste,Incidente
521,8126,2018-09-24,PR,Sul,Acidente
522,8130,2018-09-26,SP,Sudeste,Incidente Grave
523,8127,2018-09-21,MT,Centro-Oeste,Incidente Grave
